,start,end,rpc_method,error
82,2024-02-20 14:32:55.402416,2024-02-20 14:32:57.199177,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
83,2024-02-20 14:32:55.402690,2024-02-20 14:32:57.199543,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
84,2024-02-20 14:32:55.402897,2024-02-20 14:32:57.199884,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
85,2024-02-20 14:32:55.403093,2024-02-20 14:32:57.200220,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
86,2024-02-20 14:32:55.403300,2024-02-20 14:32:57.200575,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
87,2024-02-20 14:32:55.403509,2024-02-20 14:32:57.200910,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
88,2024-02-20 14:32:55.403709,2024-02-20 14:32:57.201256,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
89,2024-02-20 14:32:55.403904,2024-02-20 14:32:57.201604,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
90,2024-02-20 14:32:55.404095,2024-02-20 14:32:57.201931,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
91,2024-02-20 14:32:55.404397,2024-02-20 14:32:57.202280,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
92,2024-02-20 14:32:55.404601,2024-02-20 14:32:57.202655,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
93,2024-02-20 14:32:55.404795,2024-02-20 14:32:57.202984,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
94,2024-02-20 14:32:55.404987,2024-02-20 14:32:57.203311,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
95,2024-02-20 14:32:55.405198,2024-02-20 14:32:57.203653,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
96,2024-02-20 14:32:55.405405,2024-02-20 14:32:57.204299,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
97,2024-02-20 14:32:55.405623,2024-02-20 14:32:57.204585,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
98,2024-02-20 14:32:55.405827,2024-02-20 14:32:57.170072,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
99,2024-02-20 14:32:55.406020,2024-02-20 14:32:57.170578,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
